# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Ivan\Desktop\Proyecto_Megafunciones\Practica_Tarea_3\tutor3.csv
# Generated on: Sat Mar 02 18:17:24 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
CLK_50Mhz,Input,PIN_N2,2,B2_N1,PIN_N2,,,,
DATA_BUS[7],Bidir,PIN_H3,2,B2_N1,PIN_H3,,,,
DATA_BUS[6],Bidir,PIN_H4,2,B2_N1,PIN_H4,,,,
DATA_BUS[5],Bidir,PIN_J3,2,B2_N1,PIN_J3,,,,
DATA_BUS[4],Bidir,PIN_J4,2,B2_N1,PIN_J4,,,,
DATA_BUS[3],Bidir,PIN_H2,2,B2_N1,PIN_H2,,,,
DATA_BUS[2],Bidir,PIN_H1,2,B2_N1,PIN_H1,,,,
DATA_BUS[1],Bidir,PIN_J2,2,B2_N1,PIN_J2,,,,
DATA_BUS[0],Bidir,PIN_J1,2,B2_N1,PIN_J1,,,,
KEY0_LOAD,Input,PIN_G26,5,B5_N0,PIN_B15,,,,
KEY3_ACLR,Input,PIN_W26,6,B6_N1,PIN_W26,,,,
LCD_BLON,Output,PIN_K2,2,B2_N1,PIN_K2,,,,
LCD_EN,Output,PIN_K3,2,B2_N1,PIN_K3,,,,
LCD_ON,Output,PIN_L4,2,B2_N1,PIN_L4,,,,
LCD_RS,Output,PIN_K1,2,B2_N1,PIN_K1,,,,
LCD_RW,Output,PIN_K4,2,B2_N1,PIN_K4,,,,
SW[10],Input,PIN_N1,2,B2_N1,PIN_H15,,,,
SW[11],Input,PIN_P1,1,B1_N0,PIN_B17,,,,
SW[12],Input,PIN_P2,1,B1_N0,PIN_H16,,,,
SW[13],Input,PIN_T7,1,B1_N0,PIN_C16,,,,
SW[14],Input,PIN_U3,1,B1_N0,PIN_D15,,,,
SW[15],Input,PIN_U4,1,B1_N0,PIN_D16,,,,
SW[16],Input,PIN_V1,1,B1_N0,PIN_B16,,,,
SW[17],Input,PIN_V2,1,B1_N0,PIN_E15,,,,
SW0_PULSE,Input,PIN_N25,5,B5_N1,PIN_N25,,,,
SW2_MODE,Input,PIN_P25,6,B6_N0,PIN_P25,,,,
