# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Ivan\Desktop\Proyecto_Megafunciones\Practica_Tarea_5\tutor3.csv
# Generated on: Sun Mar 17 22:45:25 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
ADS,Output,PIN_V20,6,B6_N1,PIN_A17,,,,
AUS,Output,PIN_AF10,8,B8_N0,PIN_D14,,,,
BDS,Output,PIN_V21,6,B6_N1,PIN_C17,,,,
BUS,Output,PIN_AB12,8,B8_N0,PIN_G13,,,,
CDS,Output,PIN_W21,6,B6_N1,PIN_G15,,,,
CLK,Input,PIN_N2,2,B2_N1,PIN_N25,,,,
CUS,Output,PIN_AC12,8,B8_N0,PIN_G14,,,,
datos[17],Input,PIN_V2,1,B1_N0,PIN_B15,,,,
datos[16],Input,PIN_V1,1,B1_N0,PIN_G16,,,,
datos[15],Input,PIN_U4,1,B1_N0,PIN_D13,,,,
datos[14],Input,PIN_U3,1,B1_N0,PIN_C13,,,,
datos[13],Input,PIN_T7,1,B1_N0,PIN_E15,,,,
datos[12],Input,PIN_P2,1,B1_N0,PIN_D16,,,,
datos[11],Input,PIN_P1,1,B1_N0,PIN_H15,,,,
datos[10],Input,PIN_N1,2,B2_N1,PIN_D15,,,,
DDS,Output,PIN_Y22,6,B6_N1,PIN_B17,,,,
DUS,Output,PIN_AD11,8,B8_N0,PIN_B14,,,,
EDS,Output,PIN_AA24,6,B6_N1,PIN_F15,,,,
EUS,Output,PIN_AE11,8,B8_N0,PIN_A14,,,,
FDS,Output,PIN_AA23,6,B6_N1,PIN_D17,,,,
FUS,Output,PIN_V14,8,B8_N0,PIN_F14,,,,
GDS,Output,PIN_AB24,6,B6_N1,PIN_B18,,,,
GUS,Output,PIN_V13,8,B8_N0,PIN_F13,,,,
KEY0_LOAD,Input,PIN_G26,5,B5_N0,PIN_G26,,,,
KEY3_CLR,Input,PIN_W26,6,B6_N1,PIN_H16,,,,
SW0_INIT,Input,PIN_N25,5,B5_N1,PIN_F16,,,,
SW2_UPDOWN,Input,PIN_P25,6,B6_N0,PIN_C15,,,,
